Cells,Value,Error,Distance,Pellet
9.501,136.823,0.0126,9.5,1
15.801,145.936,0.0142,15.8,1
22.101,119.318,0.0161,22.1,1
28.401,74.1843,0.0215,28.4,1
9.502,123.604,0.0108,9.5,2
15.802,132.367,0.0138,15.8,2
22.102,105.732,0.0154,22.1,2
28.402,64.1929,0.0203,28.4,2
9.503,120.068,0.011,9.5,3
15.803,125.204,0.0131,15.8,3
22.103,99.3855,0.0149,22.1,3
28.403,60.3709,0.0196,28.4,3
9.504,117.705,0.0112,9.5,4
15.804,122.068,0.0127,15.8,4
22.104,95.6185,0.0146,22.1,4
28.404,57.9012,0.02,28.4,4
9.505,119.135,0.0115,9.5,5
15.805,121.269,0.0127,15.8,5
22.105,94.2825,0.0145,22.1,5
28.405,58.842,0.0204,28.4,5
9.506,117.102,0.011,9.5,6
15.806,121.783,0.0133,15.8,6
22.106,94.1253,0.0148,22.1,6
28.406,59.6003,0.0195,28.4,6
9.507,117.931,0.0113,9.5,7
15.807,121.386,0.013,15.8,7
22.107,96.0348,0.0147,22.1,7
28.407,61.3072,0.0203,28.4,7
9.508,119.791,0.0116,9.5,08
15.808,126.299,0.0132,15.8,08
22.108,99.7349,0.0154,22.1,08
28.408,63.2324,0.021,28.4,08
9.509,122.259,0.0119,9.5,09
15.809,133.259,0.0133,15.8,09
22.109,106.696,0.0158,22.1,09
28.409,66.4616,0.0207,28.4,09
9.51,129.925,0.0129,9.5,10
15.81,144.337,0.014,15.8,10
22.11,116.757,0.0162,22.1,10
28.41,71.1466,0.0207,28.4,10
9.511,139.672,0.0136,9.5,11
15.811,159.378,0.0143,15.8,11
22.111,131.37,0.0166,22.1,11
28.411,81.5808,0.0216,28.4,11
9.512,157.132,0.0146,9.5,12
15.812,193.104,0.0149,15.8,12
22.112,162.123,0.0169,22.1,12
28.412,96.3086,0.022,28.4,12
