Segments,User,Value,Error,BLK n.
2,0.0,12535000000000.0,0.0002,1
2,1.0,3018210000000.0,0.0005,1
3,0.0,20090500000000.0,0.0002,2
3,1.0,3360750000000.0,0.0005,2
4,0.0,26244400000000.0,0.0002,3
4,1.0,3658880000000.0,0.0004,3
5,0.0,26034200000000.0,0.0002,4
5,1.0,3628470000000.0,0.0004,4
6,0.0,19664300000000.0,0.0002,5
6,1.0,3265740000000.0,0.0005,5
7,0.0,12223600000000.0,0.0002,6
7,1.0,2849560000000.0,0.0005,6
2,0.0,10640700000000.0,0.0003,7
2,1.0,2674210000000.0,0.0006,7
2,0.0,15085600000000.0,0.0002,8
2,1.0,3078040000000.0,0.0005,8
2,0.0,16865800000000.0,0.0002,9
2,1.0,3113380000000.0,0.0005,9
2,0.0,18754000000000.0,0.0001,10
2,1.0,3180790000000.0,0.0004,10
2,0.0,24153200000000.0,0.0001,11
2,1.0,3610030000000.0,0.0003,11
2,0.0,27712400000000.0,0.0001,12
2,1.0,3881930000000.0,0.0003,12
2,0.0,30419400000000.0,0.0001,13
2,1.0,4065960000000.0,0.0003,13
2,0.0,32414000000000.0,0.0001,14
2,1.0,3929810000000.0,0.0003,14
2,0.0,32955200000000.0,0.0001,15
2,1.0,3983620000000.0,0.0003,15
2,0.0,31481200000000.0,0.0001,16
2,1.0,4109140000000.0,0.0003,16
2,0.0,27905700000000.0,0.0001,17
2,1.0,3855070000000.0,0.0003,17
2,0.0,23123900000000.0,0.0001,18
2,1.0,3512570000000.0,0.0003,18
