energy low [eV],Energy,Value,Error
0.0,1.11,0.0023389158397144694,0.00026031427539094045
1.1099999999999999,1.18,3.592631408821379e-05,0.006301680031529903
1.18,1.25,2.9541389069429754e-05,0.006544639824681752
1.25,1.32,2.4186087770245338e-05,0.007184267574179737
1.3199999999999998,1.39,2.0709061031162245e-05,0.007497887655068542
1.39,1.47,1.7430689007404724e-05,0.008183832442050176
1.47,1.54,1.4768864396956797e-05,0.010952340939113752
1.54,1.62,1.2855789349684797e-05,0.009477999876784809
1.6199999999999999,1.69,1.1261897353113592e-05,0.011832552947222399
1.69,1.77,1.0276565747926128e-05,0.010869653747959446
1.77,1.85,9.02503764048977e-06,0.013473956312445913
1.8499999999999999,1.92,8.14150633715502e-06,0.014129358172417042
1.92,2.0,7.521167883382325e-06,0.012340153798173182
2.0,2.08,6.723931468522169e-06,0.014753826279642833
2.08,2.16,5.961387532814516e-06,0.014632708496640057
2.1599999999999997,2.24,5.81477173894486e-06,0.015079132829418493
2.2399999999999998,2.32,5.0823430184563555e-06,0.016159052759751786
2.32,2.4,4.786866584312537e-06,0.019598337390847535
2.4,2.48,4.4760979437556754e-06,0.02108443495521988
2.48,2.56,4.049055714140573e-06,0.019280056616979395
2.56,2.64,3.998881927077047e-06,0.020436586882261517
2.6399999999999997,2.72,3.6392073762068805e-06,0.017549401304954186
2.7199999999999998,2.81,3.330859580429633e-06,0.018858155204062
2.81,2.89,3.061464133499898e-06,0.025966462761862576
2.8899999999999997,2.97,2.7990075445871277e-06,0.0231248563717765
2.9699999999999998,3.06,2.8540780914541305e-06,0.026619446469291125
3.06,3.14,2.65158103675249e-06,0.02194963482734599
3.1399999999999997,3.23,2.415414914637687e-06,0.023252942298416485
3.23,3.31,2.237903363016454e-06,0.0237083687302247
3.31,3.4,2.107014349460212e-06,0.02282395919272272
3.4,3.49,2.036694406000248e-06,0.02507293351106295
3.4899999999999998,3.58,1.8176539251722236e-06,0.024772764542460357
3.5799999999999996,3.66,1.849601231476367e-06,0.0321315522981328
3.6599999999999997,3.75,1.7919121536933908e-06,0.028484118196647416
3.75,3.84,1.6251022356516846e-06,0.02970719372969959
3.84,3.93,1.5745727069762576e-06,0.028906254065904875
3.9299999999999997,4.02,1.414910747926076e-06,0.031647607312691714
4.02,4.11,1.4368977679964206e-06,0.03308093759233826
4.109999999999999,4.2,1.401055566966648e-06,0.03302071264650992
4.2,4.29,1.2680502249147277e-06,0.02970760027986275
4.29,4.38,1.1260801727850407e-06,0.03692941927864899
4.38,4.47,1.2181621676400822e-06,0.03178727443846934
4.47,4.57,1.1453187554719246e-06,0.030886091470057584
4.569999999999999,4.66,1.1392535705919991e-06,0.038341852867030006
4.66,4.75,1.0788171988657544e-06,0.04153837863847174
4.75,4.85,9.893425710903195e-07,0.0379703669891055
4.85,4.94,9.698881976655075e-07,0.0453708842750791
4.9399999999999995,5.03,9.525989687379796e-07,0.040430042942664446
5.029999999999999,5.13,8.876766617828625e-07,0.03834572121139806
5.13,5.22,9.074239372740129e-07,0.04310855445478748
5.22,5.32,7.599320482896714e-07,0.030855690301692044
5.319999999999999,5.42,7.558584403332295e-07,0.03839284312233584
5.42,5.51,7.782971311090284e-07,0.046700020348210636
5.51,5.61,7.582368248266372e-07,0.04415240617298072
5.609999999999999,5.71,8.063758159794405e-07,0.04109479585201298
5.71,5.81,7.185570037578617e-07,0.0368859551074363
5.81,5.9,7.229004176066804e-07,0.05268948260209829
5.8999999999999995,6.0,7.202299708980053e-07,0.04351262573738868
6.0,6.1,7.153290400549781e-07,0.052140558499351446
6.1,6.2,6.714712088484905e-07,0.04303045701408198
6.199999999999999,6.3,7.327702203800183e-07,0.06944498924646217
6.3,6.4,5.921938859066058e-07,0.05093516181274315
6.3999999999999995,6.5,6.401146831237692e-07,0.04605204133794043
6.5,6.6,6.2598666551923e-07,0.04573734704299585
6.6,6.7,6.683302045980865e-07,0.04733411695697867
6.699999999999999,6.81,6.496058594597597e-07,0.04198021436011099
6.81,6.91,6.234894589440028e-07,0.047438430722572485
6.909999999999999,7.01,6.607811527653577e-07,0.04442361963041535
7.01,7.11,6.254524866586152e-07,0.05231037521721813
7.109999999999999,7.22,6.387480345494718e-07,0.04709517858965631
7.22,7.32,6.461654774588999e-07,0.03920145349502219
7.319999999999999,7.42,5.341338589304837e-07,0.04164372052534337
7.42,7.53,5.861681072994827e-07,0.05700566345373782
7.529999999999999,7.63,5.262821962550191e-07,0.046513776124850435
7.63,7.74,5.340680911208848e-07,0.04801070008049806
7.739999999999999,7.84,5.175233823444526e-07,0.04549822479067725
7.84,7.95,6.202109534127555e-07,0.04409481823958012
7.949999999999999,8.06,5.870097277593478e-07,0.05286667632131771
8.06,8.16,5.547872981036987e-07,0.05492136932432376
8.16,8.27,5.471962711791113e-07,0.060547850169025065
8.27,8.38,5.527267798305553e-07,0.05140163529696663
8.379999999999999,8.49,5.226360848484671e-07,0.047878764706900744
8.49,8.59,6.02365033226893e-07,0.04913923943370374
8.59,8.7,5.2782913396693e-07,0.054600419154201614
8.7,8.81,5.597589656761472e-07,0.049610480058589736
8.809999999999999,8.92,5.657038303861667e-07,0.04484250662333676
8.92,9.03,5.99559842058629e-07,0.04859155652990901
9.03,9.14,6.342758124316526e-07,0.04534580795557202
9.139999999999999,9.25,6.647106284455601e-07,0.055658829264715166
9.25,9.36,6.433260199250491e-07,0.04798489971938145
9.36,9.47,6.195932597351029e-07,0.05071706845452581
9.469999999999999,9.59,6.125090528989789e-07,0.04397503894985754
9.59,9.7,6.12402203779994e-07,0.04255602440498444
9.7,9.81,6.27378248798978e-07,0.04169842225588774
9.809999999999999,9.92,6.591940098534472e-07,0.058292370029975914
9.92,10.0,6.546177541555243e-07,0.05090234897238953
10.0,10.1,6.162169642670205e-07,0.046834520370046394
10.1,10.3,6.349227659557756e-07,0.03575401583564115
10.299999999999999,10.4,6.110535813213012e-07,0.048266132508221406
10.4,10.5,5.523585920453408e-07,0.04783856076879949
10.5,10.6,6.250771736505498e-07,0.046919159633075504
10.6,10.7,6.08129245082562e-07,0.06329489860985142
10.7,10.8,6.884364055510763e-07,0.04819688959687873
10.799999999999999,11.0,6.059828495678132e-07,0.03397053712390926
11.0,11.1,6.118793346154029e-07,0.05430340761575398
11.1,11.2,5.585805837594084e-07,0.049367963479486285
11.2,11.3,5.675590451607572e-07,0.05104438203298765
11.299999999999999,11.4,5.641092342752826e-07,0.05630889707212144
11.4,11.5,5.412798241457159e-07,0.04975267565896869
11.5,11.7,5.895847550360657e-07,0.03451767809920369
11.7,11.8,5.380445668947476e-07,0.04333580278850554
11.799999999999999,11.9,5.544912172039284e-07,0.06743180617244876
11.899999999999999,12.0,5.732065875774475e-07,0.054267606698840024
12.0,12.1,5.909618456309033e-07,0.056207397659965797
12.1,12.2,5.58190111949221e-07,0.05919419252947544
12.2,12.4,5.648926960463507e-07,0.03911287030959009
12.399999999999999,12.5,5.760542429257901e-07,0.05119790089832989
12.5,12.6,6.159284158276394e-07,0.04711312521805077
12.6,12.7,6.69155113618369e-07,0.0540786668212614
12.7,12.9,6.663184393574786e-07,0.0359962429795746
12.899999999999999,13.0,6.795369718386044e-07,0.05148668513165527
13.0,13.1,6.70541870082318e-07,0.046640568823805524
13.1,13.2,6.836735186812167e-07,0.04549445482133038
13.2,13.3,6.467695043094866e-07,0.04403883342443783
13.299999999999999,13.5,6.646534105676868e-07,0.03447220298659932
13.5,13.6,6.891510511946876e-07,0.046352530608700725
13.6,13.7,7.044496933887644e-07,0.03956897108632549
13.7,13.8,7.56857485847191e-07,0.04686862411968658
13.799999999999999,14.0,1.100586612041104e-06,0.023531443000209745
14.0,14.1,1.8963444320441698e-06,0.030362209007505345
14.1,14.2,2.8103978225496805e-06,0.025504621312530208
14.2,14.3,5.111434634635942e-06,0.01756350213823385
14.299999999999999,14.5,1.088271708300965e-05,0.009620289640717946
14.5,14.6,1.750012353147745e-05,0.011780609951273112
14.6,14.7,1.8993400845854562e-05,0.011541135201130882
14.7,14.8,1.7386918404435837e-05,0.014048966654373284
14.799999999999999,15.0,1.1417794351253733e-05,0.011954506083292429
15.0,15.1,6.597812630579002e-06,0.024095241698306177
15.1,15.2,4.001099454251333e-06,0.027184774776366646
15.2,15.4,4.5459196256535984e-07,0.07367346895476799
15.399999999999999,15.5,0.0,
15.5,15.6,0.0,
15.6,15.7,0.0,
